instrument_type,year,value_rub_mm,value_usd_mm,num_trades
futures,2015,90237648.437465,1458429.27302287,316103924.0
futures,2016,109518362.974217,1620240.04020079,341211288.0
futures,2017,77633480.449684,1330591.60384467,254084549.0
futures,2018,82212099.976854,1310333.24593632,256408626.0
futures,2019,76889466.054932,1188430.55423514,221070015.0
futures,2020,124083047.154491,1713210.01717917,365089401.0
futures,2021,150916509.694659,2049163.26212606,384245995.0
options,2015,3506925.00551,57079.1233011881,4479286.0
options,2016,5788176.620558,86762.6462234639,6082543.0
options,2017,7172745.626088,123156.012639741,6702988.0
options,2018,6916243.686168,111743.47577033252,6949222.0
options,2019,4905047.635652,75842.798007039,5308440.0
options,2020,5270852.359274,74065.3408179226,6919040.0
options,2021,6663179.23424,90654.6350436602,7453638.0
totals,2015,93744573.442975,1515508.39632374,320583210.0
totals,2016,115306539.594775,1707002.68642429,347293831.0
totals,2017,84806226.075772,1453747.61648447,260787537.0
totals,2018,89128343.663022,1422076.72170657,263357848.0
totals,2019,81794513.690584,1264273.35224224,226378455.0
totals,2020,129353899.51376499,1787275.35799725,372008441.0
totals,2021,157579688.928896,2139817.89716949,391699633.0
