instrument_type,year,quarter,value_rub_mm,value_usd_mm,num_trades
futures,2015,1,16426741.01235,260606.67179687,68153354.0
futures,2015,2,16625723.497318,314853.26221822,72871978.0
futures,2015,3,28915488.875105,453036.8975365,90579560.0
futures,2015,4,28269695.052692,429932.44147128,84499032.0
futures,2016,1,34028403.286147,451967.00600907,107569279.0
futures,2016,2,26415449.402709,400558.2761391,84919793.0
futures,2016,3,25333055.134136,391927.9394145,79642751.0
futures,2016,4,23741455.151225,375786.81863812,69079465.0
futures,2017,1,20422529.742018,347583.73421177,65320700.0
futures,2017,2,18848559.55715,330000.30776403,66608499.0
futures,2017,3,20045007.191296,339646.71470604,66246052.0
futures,2017,4,18317383.95922,313360.84716283,55909298.0
futures,2018,1,18437490.063067,324196.51288946,58778653.0
futures,2018,2,20160149.396554,326573.13967699,63859855.0
futures,2018,3,20485348.177799,311499.27779337997,61100293.0
futures,2018,4,23129112.339434,348064.31557649,72669825.0
futures,2019,1,17408424.913697,264250.95120171,52893111.0
futures,2019,2,17954061.472784,277923.0512063,53448852.0
futures,2019,3,22631619.401747,350278.72896159,61565859.0
futures,2019,4,18895360.266704,295977.82286554,53162193.0
futures,2020,1,31734512.94849,471912.83598476,99098798.0
futures,2020,2,25974481.515487,358331.11262451,91794780.0
futures,2020,3,30618670.936858,414196.10207148,81072836.0
futures,2020,4,35755381.753656,468769.96649842,93122987.0
futures,2021,1,38533211.395941,518499.74645353,100670615.0
futures,2021,2,34093190.142833,458604.57103646,86155164.0
futures,2021,3,35440425.046756,482460.34629533,83256961.0
futures,2021,4,42849683.109129,589598.59834074,114163255.0
options,2015,1,621540.401757,9919.0366436269,881775.0
options,2015,2,741890.046658,14045.53200716,1042348.0
options,2015,3,1035651.2113280001,16281.2338404175,1259791.0
options,2015,4,1107843.345767,16833.3208099837,1295372.0
options,2016,1,1450341.801094,19324.4178558349,1641638.0
options,2016,2,1293768.100816,19647.824156231,1434029.0
options,2016,3,1284958.230107,19913.483000476,1325274.0
options,2016,4,1759108.488541,27876.921210922,1681602.0
options,2017,1,1818305.523531,30988.846144334,1861460.0
options,2017,2,1963060.473807,34412.869300489,1685395.0
options,2017,3,1683005.526991,28531.779057665,1626667.0
options,2017,4,1708374.101759,29222.518137253,1529466.0
options,2018,1,2109967.622484,37071.142827761,1951411.0
options,2018,2,1745101.809958,28359.67984390652,1703358.0
options,2018,3,1517687.764197,23074.7321204,1634776.0
options,2018,4,1543486.489529,23237.920978265,1659677.0
options,2019,1,1153378.723081,17525.87658319,1269932.0
options,2019,2,1142266.18028,17691.67518133,1248916.0
options,2019,3,1350039.292968,20877.825967107,1497819.0
options,2019,4,1259363.439323,19747.420275412,1291773.0
options,2020,1,1612398.5992069999,24711.136486136,1856352.0
options,2020,2,1109127.92804,15392.2679574046,1654803.0
options,2020,3,1174717.02011,15918.010288627,1563514.0
options,2020,4,1374608.811917,18043.926085755,1844371.0
options,2021,1,1454387.38993,19583.3357792572,1883129.0
options,2021,2,1337193.574083,17970.937877365,1598970.0
options,2021,3,1575244.403376,21455.305583590998,1668868.0
options,2021,4,2296353.866851,31645.055803447,2302671.0
totals,2015,1,17048281.414107,270525.70844049,69035129.0
totals,2015,2,17367613.543976,328898.79422539,73914326.0
totals,2015,3,29951140.086433,469318.13137668,91839351.0
totals,2015,4,29377538.398459,446765.76228118,85794404.0
totals,2016,1,35478745.087241,471291.423865,109210917.0
totals,2016,2,27709217.503525,420206.10029528,86353822.0
totals,2016,3,26618013.364243,411841.42241494,80968025.0
totals,2016,4,25500563.639766,403663.73984906997,70761067.0
totals,2017,1,22240835.265549,378572.58035607,67182160.0
totals,2017,2,20811620.030957,364413.17706456,68293894.0
totals,2017,3,21728012.718287,368178.49376371,67872719.0
totals,2017,4,20025758.060979,342583.36530013,57438764.0
totals,2018,1,20547457.685551,361267.65571724,60730064.0
totals,2018,2,21905251.206512,354932.81952077,65563213.0
totals,2018,3,22003035.941996,334574.00991383,62735069.0
totals,2018,4,24672598.828963,371302.23655473,74329502.0
totals,2019,1,18561803.636778,281776.82778492,54163043.0
totals,2019,2,19096327.653064,295614.72638767,54697768.0
totals,2019,3,23981658.694715,371156.55492872,63063678.0
totals,2019,4,20154723.706027,315725.24314093,54453966.0
totals,2020,1,33346911.547697,496623.97247113,100955150.0
totals,2020,2,27083609.443527,373723.38058195,93449583.0
totals,2020,3,31793387.956968,430114.11236007,82636350.0
totals,2020,4,37129990.565573,486813.8925841,94967358.0
totals,2021,1,39987598.785874,538083.08223279,102553744.0
totals,2021,2,35430383.716916,476575.50891381,87754134.0
totals,2021,3,37015669.450132,503915.6518789,84925829.0
totals,2021,4,45146036.975974,621243.65414399,116465926.0
