instrument_type,year,month,value_rub_mm,value_usd_mm,num_trades
futures,2022,1,16034330.464722,210430.15862087,49875959.0
futures,2022,2,15718093.78537,205059.522488203,49189041.0
futures,2022,3,2200558.358752,21726.383529749,8733376.0
futures,2022,4,4057893.638102,52271.48887444,25236804.0
futures,2022,5,5443076.418526,86521.50389166,31469340.0
futures,2022,6,5159581.555677,90451.31897497,29637967.0
futures,2022,7,6218540.414148,107552.08004238,34604776.0
futures,2022,8,4687871.102938,77509.24557684,24768927.0
futures,2022,9,4505486.516365,75528.22164613,26776298.0
futures,2022,10,3362228.762523,55180.43146400822,21920450.0
futures,2022,11,2921343.6617,48007.12553751875,17661624.0
futures,2022,12,4521223.742012,68433.90685328514,23522622.0
futures,2023,1,3328108.181143,48117.60216559886,19853619.0
futures,2023,2,4057230.111226,55496.79781013613,20900895.0
futures,2023,3,5590799.548302,73510.35089604286,26561705.0
futures,2023,4,4696359.64252,57943.87678058275,20574492.0
futures,2023,5,5576040.980697,70524.22590067916,24524402.0
futures,2023,6,6561096.51596,78639.18677719084,25036560.0
futures,2023,7,5639347.391578,62378.79117050988,21232214.0
futures,2023,8,8640416.628282,90347.47525670154,29820800.0
futures,2023,9,8200826.656348,84905.32784889934,25634106.0
futures,2023,10,8190196.103752,84368.40562868917,25889097.0
futures,2023,11,6879624.454084,76075.6343063032,23202348.0
futures,2023,12,8285130.225557,91251.64838629906,25942114.0
futures,2024,1,6174545.9428199995,69482.51421051205,21319837.0
futures,2024,2,6232046.707375,68071.25907455606,20630513.0
futures,2024,3,7074700.903284,77159.26090037312,20608073.0
futures,2024,4,6530888.983393,70253.56904016266,19309978.0
futures,2024,5,6484876.67662,71547.5603487036,18991290.0
futures,2024,6,8270986.425164,94275.59439194087,24058237.0
futures,2024,7,6233976.284643,71362.54134740602,21255603.0
futures,2024,8,7613916.890216,85422.43923557569,24701868.0
futures,2024,9,8745517.468571,95925.84754435201,27065390.0
futures,2024,10,8085794.45829,84165.84470362334,24688752.0
futures,2024,11,9386828.132746,92917.58966674104,27351424.0
futures,2024,12,11177779.741547,108947.46730740141,33162910.0
futures,2025,1,7905394.788576,78648.41569828734,24721182.0
futures,2025,2,11473668.130557999,124550.37376581556,34877211.0
futures,2025,3,12051773.126028,140145.0701835287,39059354.0
futures,2025,4,11541588.7054,138170.4059262073,40114236.0
futures,2025,5,8190658.0822829995,101900.39747874445,28834750.0
futures,2025,6,9328078.328405,118508.82810135045,30880601.0
futures,2025,7,9002452.447142,114092.48654707472,29160878.0
futures,2025,8,8735531.798031,109034.4830482036,27029896.0
futures,2025,9,13031102.947582,156999.5848450512,34230938.0
futures,2025,10,16477186.537346,203764.77772227838,42716880.0
futures,2025,11,10559730.143803,131249.51112176556,31090294.0
futures,2025,12,14623372.127812,186615.74143926785,40779402.0
futures,2026,1,13636779.776433,176625.08359189,39451108.0
futures,2026,2,11715861.356003,152586.1819622039,40907827.0
futures,2026,3,20766146.900458,257927.66781152118,66943027.0
futures,2026,4,14010484.160139,182455.66737050522,44611402.0
futures,2026,5,12418630.858881999,170377.37409386644,41038445.0
options,2022,1,602774.938105,7938.145011565,823647.0
options,2022,2,479782.07452799997,6266.2061171462,742551.0
options,2022,3,63582.152166,638.259519227,87046.0
options,2022,4,80852.19094500001,1036.468402488,207414.0
options,2022,5,109781.870731,1742.5065230783,297132.0
options,2022,6,120999.799118,2133.3743956765,316803.0
options,2022,7,127198.782364,2205.3893956222,337442.0
options,2022,8,114305.263133,1890.2956222113,298819.0
options,2022,9,146524.20937599998,2451.055284523,353150.0
options,2022,10,94499.709532,1547.660657555103,283661.0
options,2022,11,86457.283992,1421.0632355966125,221694.0
options,2022,12,149795.221168,2265.290148474801,338111.0
options,2023,1,115043.90439299999,1663.2621191734809,279392.0
options,2023,2,167901.687924,2299.8027762227343,293404.0
options,2023,3,176724.48457,2323.350377243204,323908.0
options,2023,4,182793.9289,2258.877526917931,359937.0
options,2023,5,198572.673653,2514.989883858526,417536.0
options,2023,6,225023.450854,2691.5801119602925,409860.0
options,2023,7,229422.597007,2536.21399567184,407570.0
options,2023,8,366837.384772,3836.935621894557,597064.0
options,2023,9,284789.852837,2945.872464008068,431382.0
options,2023,10,293590.802792,3019.502497175224,497532.0
options,2023,11,258347.500046,2855.8994152935384,424666.0
options,2023,12,284073.256798,3125.9878322847344,423663.0
options,2024,1,228850.824092,2576.3017888385675,355113.0
options,2024,2,252084.438077,2755.953964349387,434934.0
options,2024,3,225907.26794,2461.1948027315157,375295.0
options,2024,4,237765.156719,2558.0368162398318,399785.0
options,2024,5,223888.75015,2470.0949793219716,378434.0
options,2024,6,240532.257706,2742.6203128572056,396140.0
options,2024,7,246236.358882,2815.768620065997,436914.0
options,2024,8,270636.543095,3031.084748812981,466581.0
options,2024,9,267321.068213,2930.5101078202965,419055.0
options,2024,10,310532.319344,3231.557746032731,439843.0
options,2024,11,352171.380349,3480.5080696777636,534861.0
options,2024,12,339483.688485,3301.2551314471802,534784.0
options,2025,1,252497.633856,2514.8643282985163,410895.0
options,2025,2,390165.531044,4229.982184922376,612484.0
options,2025,3,347388.73171,4036.870670535541,535485.0
options,2025,4,314187.498041,3756.0516802033453,545736.0
options,2025,5,227996.697965,2836.049809110636,417888.0
options,2025,6,210785.35072699998,2676.850594304864,359515.0
options,2025,7,220167.555158,2788.846845757371,448366.0
options,2025,8,193502.305197,2415.5564060530255,359912.0
options,2025,9,305996.528021,3683.2508934718385,468576.0
options,2025,10,325341.060885,4022.579699636653,603762.0
options,2025,11,208262.734121,2588.49897486632,411834.0
options,2025,12,278317.882391,3548.7705573092258,430932.0
options,2026,1,183557.470562,2372.205833308686,339036.0
options,2026,2,195416.319249,2544.38964924884,340272.0
options,2026,3,369721.106273,4581.200552669092,563637.0
options,2026,4,277036.079748,3599.4342339144678,443600.0
options,2026,5,245745.36545800001,3368.1359262965557,399063.0
totals,2022,1,16637105.402828,218368.30363246,50699606.0
totals,2022,2,16197875.859904,211325.728605237,49931592.0
totals,2022,3,2264140.510918,22364.643048963,8820422.0
totals,2022,4,4138745.829047,53307.95727692,25444218.0
totals,2022,5,5552858.289257,88264.01041475,31766472.0
totals,2022,6,5280581.354795,92584.69337061999,29954770.0
totals,2022,7,6345739.196512,109757.469438,34942218.0
totals,2022,8,4802176.366071,79399.54119902999,25067746.0
totals,2022,9,4652010.725741,77979.27693063,27129448.0
totals,2022,10,3456728.472055,56728.092121570226,22204111.0
totals,2022,11,3007800.945692,49428.188773115355,17883318.0
totals,2022,12,4671018.96318,70699.19700175994,23860733.0
totals,2023,1,3443152.085536,49780.864284772346,20133011.0
totals,2023,2,4225131.79915,57796.60058635886,21194299.0
totals,2023,3,5767524.032872,75833.70127328607,26885613.0
totals,2023,4,4879153.57142,60202.75430750068,20934429.0
totals,2023,5,5774613.65435,73039.2157845377,24941938.0
totals,2023,6,6786119.966814,81330.76688915113,25446420.0
totals,2023,7,5868769.988585,64915.00516618172,21639784.0
totals,2023,8,9007254.013054,94184.41087859609,30417864.0
totals,2023,9,8485616.509185,87851.2003129074,26065488.0
totals,2023,10,8483786.906544,87387.9081258644,26386629.0
totals,2023,11,7137971.9541299995,78931.53372159673,23627014.0
totals,2023,12,8569203.482355,94377.6362185838,26365777.0
totals,2024,1,6403396.766912,72058.81599935061,21674950.0
totals,2024,2,6484131.145452,70827.21303890544,21065447.0
totals,2024,3,7300608.171224,79620.45570310464,20983368.0
totals,2024,4,6768654.140112,72811.6058564025,19709763.0
totals,2024,5,6708765.42677,74017.65532802556,19369724.0
totals,2024,6,8511518.68287,97018.21470479808,24454377.0
totals,2024,7,6480212.643525,74178.30996747201,21692517.0
