instrument_type,year,month,value_rub_mm,value_usd_mm,num_trades
totals,2024,8,7884553.433311,88453.52398438867,25168449.0
totals,2024,9,9012838.536784,98856.35765217232,27484445.0
totals,2024,10,8396326.777634,87397.40244965607,25128595.0
totals,2024,11,9738999.513095,96398.09773641881,27886285.0
totals,2024,12,11517263.430032,112248.72243884859,33697694.0
totals,2025,1,8157892.422432,81163.28002658585,25132077.0
totals,2025,2,11863833.661602,128780.35595073794,35489695.0
totals,2025,3,12399161.857738,144181.94085406425,39594839.0
totals,2025,4,11855776.203441,141926.45760641064,40659972.0
totals,2025,5,8418654.780248,104736.44728785509,29252638.0
totals,2025,6,9538863.679132,121185.67869565531,31240116.0
totals,2025,7,9222620.0023,116881.33339283208,29609244.0
totals,2025,8,8929034.103227999,111450.03945425664,27389808.0
totals,2025,9,13337099.475603,160682.83573852305,34699514.0
totals,2025,10,16802527.598231,207787.35742191502,43320642.0
totals,2025,11,10767992.877924,133838.0100966319,31502128.0
totals,2025,12,14901690.010203,190164.51199657706,41210334.0
totals,2026,1,13820337.246995,178997.2894251987,39790144.0
totals,2026,2,11911277.675252,155130.57161145273,41248099.0
totals,2026,3,21135868.006731,262508.8683641903,67506664.0
totals,2026,4,14287520.239887001,186055.1016044197,45055002.0
totals,2026,5,12664376.22434,173745.510020163,41437508.0
