date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2015-04-24,futures,292356.477723,5665.70243121,1466002.0,2015,4,2
2015-04-27,futures,243287.185626,4841.79618857,1233488.0,2015,4,2
2015-04-28,futures,266793.869334,5183.5836976400005,1292812.0,2015,4,2
2015-04-29,futures,240975.15501,4607.19436928,1127215.0,2015,4,2
2015-04-30,futures,279845.286403,5412.56460282,1323281.0,2015,4,2
2015-05-05,futures,238242.572952,4658.7439078,1065056.0,2015,5,2
2015-05-06,futures,248252.034845,4796.45490007,1174184.0,2015,5,2
2015-05-07,futures,256776.325792,5137.41708533,1180666.0,2015,5,2
2015-05-08,futures,238657.793781,4738.893674350001,1179362.0,2015,5,2
2015-05-12,futures,225963.320711,4452.38272099,1071796.0,2015,5,2
2015-05-13,futures,250823.975196,4926.42446471,1134845.0,2015,5,2
2015-05-14,futures,236670.195333,4777.68347713,1137432.0,2015,5,2
2015-05-15,futures,195069.837924,3895.36673078,897395.0,2015,5,2
2015-05-18,futures,206492.382439,4128.89800224,932127.0,2015,5,2
2015-05-19,futures,233206.999308,4738.29429183,1006351.0,2015,5,2
2015-05-20,futures,220380.332524,4481.30621245,979125.0,2015,5,2
2015-05-21,futures,223314.980537,4484.966039399999,1064187.0,2015,5,2
2015-05-22,futures,195132.931329,3908.88156603,914210.0,2015,5,2
2015-05-25,futures,141057.209038,2833.0372712199996,699026.0,2015,5,2
2015-05-26,futures,237958.416134,4772.40697964,996333.0,2015,5,2
2015-05-27,futures,278036.330158,5525.1117329300005,1118086.0,2015,5,2
2015-05-28,futures,264923.118238,5192.75857128,1073360.0,2015,5,2
2015-05-29,futures,312722.879479,5980.46840985,1324965.0,2015,5,2
2015-06-01,futures,271640.489408,5128.040108439999,1171020.0,2015,6,2
2015-06-02,futures,272520.477558,5159.291375979999,1208638.0,2015,6,2
2015-06-03,futures,338009.195093,6324.86850232,1389770.0,2015,6,2
2015-06-04,futures,361923.37361,6821.14954315,1406856.0,2015,6,2
2015-06-05,futures,424769.85214,7724.380298890001,1774928.0,2015,6,2
2015-06-08,futures,319671.26071,5683.41847748,1484393.0,2015,6,2
2015-06-09,futures,275372.418775,4913.54784721,1171840.0,2015,6,2
2015-06-10,futures,365311.375386,6533.91835783,1385198.0,2015,6,2
2015-06-11,futures,351087.589347,6404.14851267,1331295.0,2015,6,2
2015-06-15,futures,366037.212425,6712.76878009,1359572.0,2015,6,2
2015-06-16,futures,227180.217626,4110.52740607,975273.0,2015,6,2
2015-06-17,futures,247591.679274,4581.5609894399995,1083745.0,2015,6,2
2015-06-18,futures,345254.426347,6405.47433941,1447769.0,2015,6,2
2015-06-19,futures,258361.803607,4844.57752014,1136801.0,2015,6,2
2015-06-22,futures,256510.144364,4767.793377100001,1046856.0,2015,6,2
2015-06-23,futures,259602.082699,4847.22010981,1110265.0,2015,6,2
2015-06-24,futures,284650.74305,5251.0739732600005,1145352.0,2015,6,2
2015-06-25,futures,227814.454581,4212.96606135,891927.0,2015,6,2
2015-06-26,futures,230630.067034,4223.79276873,883003.0,2015,6,2
2015-06-29,futures,269547.74649,4917.62380347,1034172.0,2015,6,2
2015-06-30,futures,297227.75599,5353.14019145,1128622.0,2015,6,2
2015-07-01,futures,285908.8959,5120.025785569999,1118588.0,2015,7,3
2015-07-02,futures,265729.048193,4790.01665945,982530.0,2015,7,3
2015-07-03,futures,210943.203361,3790.15916416,792542.0,2015,7,3
2015-07-06,futures,232797.039826,4186.62815374,875601.0,2015,7,3
2015-07-07,futures,324025.283829,5743.98849571,1234826.0,2015,7,3
2015-07-08,futures,440909.743379,7705.625793069999,1664655.0,2015,7,3
2015-07-09,futures,326057.402773,5698.57076297,1218168.0,2015,7,3
2015-07-10,futures,298285.804375,5234.89353996,1098041.0,2015,7,3
2015-07-13,futures,307238.605741,5421.682341,1130519.0,2015,7,3
2015-07-14,futures,300152.838384,5302.31360612,1077223.0,2015,7,3
2015-07-15,futures,274871.822245,4824.22543403,1023458.0,2015,7,3
2015-07-16,futures,258569.355233,4563.18725462,874621.0,2015,7,3
2015-07-17,futures,224508.012517,3942.16743898,796053.0,2015,7,3
2015-07-20,futures,225623.96513,3969.29689914,809310.0,2015,7,3
2015-07-21,futures,234409.047026,4124.480008760001,813396.0,2015,7,3
2015-07-22,futures,254850.297186,4470.86175494,852394.0,2015,7,3
2015-07-23,futures,258454.868065,4532.45114383,838740.0,2015,7,3
2015-07-24,futures,331944.569723,5787.2611872,1093879.0,2015,7,3
2015-07-27,futures,385748.16571,6646.544567989999,1238154.0,2015,7,3
2015-07-28,futures,460123.002791,7827.670611060001,1481866.0,2015,7,3
2015-07-29,futures,474019.809875,7871.06292893,1541131.0,2015,7,3
2015-07-30,futures,419510.89764,7019.1645426800005,1442006.0,2015,7,3
2015-07-31,futures,481883.568378,8168.81958105,1541733.0,2015,7,3
2015-08-03,futures,485819.091944,8050.58665133,1529667.0,2015,8,3
2015-08-04,futures,430684.112944,6894.5088893,1399829.0,2015,8,3
2015-08-05,futures,420206.345047,6678.61358156,1361823.0,2015,8,3
2015-08-06,futures,448010.044821,7143.19952073,1485678.0,2015,8,3
2015-08-07,futures,483780.261699,7575.11636685,1373539.0,2015,8,3
2015-08-10,futures,456926.567415,7157.38225491,1340098.0,2015,8,3
2015-08-11,futures,506856.667753,7858.5231373100005,1504043.0,2015,8,3
2015-08-12,futures,479735.906413,7589.58114743,1403855.0,2015,8,3
2015-08-13,futures,449739.129285,6917.26503855,1281824.0,2015,8,3
2015-08-14,futures,364627.776637,5697.4158365,1019409.0,2015,8,3
2015-08-17,futures,345252.119652,5316.78151746,1038782.0,2015,8,3
2015-08-18,futures,336640.364759,5139.28078175,986433.0,2015,8,3
2015-08-19,futures,418027.588926,6350.21379555,1195023.0,2015,8,3
2015-08-20,futures,518857.883113,7894.712640680001,1503870.0,2015,8,3
2015-08-21,futures,496496.406542,7414.73229923,1416423.0,2015,8,3
2015-08-24,futures,868338.026074,12746.882429,2394081.0,2015,8,3
2015-08-25,futures,851616.371254,12037.5760109,2414956.0,2015,8,3
2015-08-26,futures,759790.073917,10862.508044299999,2135183.0,2015,8,3
2015-08-27,futures,720258.3973,10391.209843,2002021.0,2015,8,3
2015-08-28,futures,805605.119613,11944.215997,2360080.0,2015,8,3
2015-08-31,futures,674674.406905,10148.8525797,2158964.0,2015,8,3
2015-09-01,futures,824487.56982,12358.3166927,2590784.0,2015,9,3
2015-09-02,futures,793079.26361,12135.9652883,2457719.0,2015,9,3
2015-09-03,futures,668635.576452,10028.189869299998,2017955.0,2015,9,3
2015-09-04,futures,512551.982247,7648.865131680001,1581297.0,2015,9,3
2015-09-07,futures,354160.901345,5232.487277020001,1104188.0,2015,9,3
2015-09-08,futures,475155.21442,6937.94993488,1320107.0,2015,9,3
2015-09-09,futures,499727.884314,7264.20466433,1515297.0,2015,9,3
2015-09-10,futures,532993.861328,7881.971097060001,1641416.0,2015,9,3
2015-09-11,futures,482491.80181,7044.07698847,1384457.0,2015,9,3
2015-09-14,futures,458969.990242,6748.63570485,1239135.0,2015,9,3
2015-09-15,futures,443619.805523,6527.93903099,1264911.0,2015,9,3
2015-09-16,futures,435271.312012,6481.36038638,1264456.0,2015,9,3
2015-09-17,futures,345451.099366,5239.8793726700005,1144416.0,2015,9,3
2015-09-18,futures,579326.305534,8863.30966833,1892309.0,2015,9,3
2015-09-21,futures,306239.137552,4665.11493807,1002718.0,2015,9,3
2015-09-22,futures,327211.298018,4946.841402939999,1053897.0,2015,9,3
2015-09-23,futures,441633.679048,6673.7541545,1377398.0,2015,9,3
