date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2022-01-03,futures,403719.915071,5434.18745704,1125430.0,2022,1,1
2022-01-04,futures,462455.626075,6224.78720727,1309843.0,2022,1,1
2022-01-05,futures,438730.837224,5905.44465026,1211885.0,2022,1,1
2022-01-06,futures,857234.655921,11538.6277492,2438705.0,2022,1,1
2022-01-07,futures,365993.585149,4926.38008562,990950.0,2022,1,1
2022-01-10,futures,514678.171952,6927.71786089,1375552.0,2022,1,1
2022-01-11,futures,549991.959813,7320.39104521,1516684.0,2022,1,1
2022-01-12,futures,585049.656758,7817.80915151,1594720.0,2022,1,1
2022-01-13,futures,855831.994502,11483.408108700001,2376746.0,2022,1,1
2022-01-14,futures,1111358.13178,14903.8352842,3357392.0,2022,1,1
2022-01-17,futures,805496.907772,10631.2647198,2422524.0,2022,1,1
2022-01-18,futures,904019.788879,11888.677451399999,2919267.0,2022,1,1
2022-01-19,futures,954513.837702,12504.3242156,3295064.0,2022,1,1
2022-01-20,futures,741761.898256,9649.60053514,2574445.0,2022,1,1
2022-01-21,futures,811696.033133,10618.6229492,2785771.0,2022,1,1
2022-01-24,futures,1165013.16549,15191.1410634,3989636.0,2022,1,1
2022-01-25,futures,898910.804092,11619.1038067,3107769.0,2022,1,1
2022-01-26,futures,831898.978967,10578.2770442,2566052.0,2022,1,1
2022-01-27,futures,1371779.23831,17376.677788200002,4205047.0,2022,1,1
2022-01-28,futures,842257.081025,10668.63948,2791747.0,2022,1,1
2022-01-31,futures,561938.196851,7221.24096733,1920730.0,2022,1,1
2022-02-01,futures,603273.284892,7787.1657087799995,1807105.0,2022,2,1
2022-02-02,futures,664003.462126,8608.86477834,1947707.0,2022,2,1
2022-02-03,futures,663852.578786,8679.52470077,1872280.0,2022,2,1
2022-02-04,futures,684653.743059,8932.196344940001,1890649.0,2022,2,1
2022-02-07,futures,519721.021046,6833.85760124,1468633.0,2022,2,1
2022-02-08,futures,528036.121192,6977.166158720001,1533097.0,2022,2,1
2022-02-09,futures,494391.20797,6565.2541022899995,1465614.0,2022,2,1
2022-02-10,futures,655473.594258,8762.840240610001,1770100.0,2022,2,1
2022-02-11,futures,821368.636906,10992.017794899999,2293481.0,2022,2,1
2022-02-14,futures,1348283.23224,17980.298269400002,3800303.0,2022,2,1
2022-02-15,futures,1105570.40663,14437.5198382,2988843.0,2022,2,1
2022-02-16,futures,704487.202654,9249.36589363,2181519.0,2022,2,1
2022-02-17,futures,1074715.98957,14326.8530792,3119607.0,2022,2,1
2022-02-18,futures,830080.319809,10957.765463299998,2713507.0,2022,2,1
2022-02-21,futures,1503139.47739,19840.3086168,5357097.0,2022,2,1
2022-02-22,futures,1465827.9831,19094.4816608,5720189.0,2022,2,1
2022-02-23,futures,781997.246955,9723.987582040001,2586247.0,2022,2,1
2022-02-24,futures,726370.429422,9032.278646969999,2418923.0,2022,2,1
2022-02-25,futures,471870.362302,5428.23968929,1980682.0,2022,2,1
2022-02-28,futures,70977.485063,849.536317983,273458.0,2022,2,1
2022-03-01,futures,,,,2022,3,1
2022-03-02,futures,39737.700216,433.128748443,25776.0,2022,3,1
2022-03-03,futures,10454.144872,101.25207263600001,7522.0,2022,3,1
2022-03-04,futures,18779.799549,168.04227363299998,34152.0,2022,3,1
2022-03-05,futures,,,,2022,3,1
2022-03-09,futures,104015.612347,983.019120131,232780.0,2022,3,1
2022-03-10,futures,81705.406567,703.843026402,254183.0,2022,3,1
2022-03-11,futures,91317.2459,758.5843477029999,311637.0,2022,3,1
2022-03-14,futures,119894.886076,1026.92197267,379791.0,2022,3,1
2022-03-15,futures,120260.883208,1043.96480797,400376.0,2022,3,1
2022-03-16,futures,127893.751861,1147.21127803,435446.0,2022,3,1
2022-03-17,futures,117552.946616,1087.9283847000002,367255.0,2022,3,1
2022-03-18,futures,93772.017708,894.760915982,368424.0,2022,3,1
2022-03-21,futures,93077.320614,895.384047064,368781.0,2022,3,1
