date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2015-05-06,options,10647.279169,205.715108738,18717.0,2015,5,2
2015-05-07,options,15276.909339,305.650666225,22955.0,2015,5,2
2015-05-08,options,9115.331983,180.998023947,15256.0,2015,5,2
2015-05-12,options,12262.336761,241.61716220899999,18661.0,2015,5,2
2015-05-13,options,14373.309427,282.305641415,23145.0,2015,5,2
2015-05-14,options,15868.17523,320.332344771,20963.0,2015,5,2
2015-05-15,options,13033.487209,260.266851095,17437.0,2015,5,2
2015-05-18,options,9241.130335,184.780107275,13197.0,2015,5,2
2015-05-19,options,9206.027198,187.047842698,16595.0,2015,5,2
2015-05-20,options,11700.134713,237.91545178,15010.0,2015,5,2
2015-05-21,options,15910.356252,319.537038193,12479.0,2015,5,2
2015-05-22,options,6348.707915,127.176623485,9565.0,2015,5,2
2015-05-25,options,5167.76148,103.79094398299999,9062.0,2015,5,2
2015-05-26,options,5704.76171,114.412614793,13093.0,2015,5,2
2015-05-27,options,12854.168753,255.436829259,16813.0,2015,5,2
2015-05-28,options,18454.618487,361.729013932,14563.0,2015,5,2
2015-05-29,options,12795.965713,244.708250473,15403.0,2015,5,2
2015-06-01,options,10140.246534,191.427982806,17164.0,2015,6,2
2015-06-02,options,13490.629482,255.40131503799998,16146.0,2015,6,2
2015-06-03,options,22568.101845,422.29702206,21908.0,2015,6,2
2015-06-04,options,20577.349528,387.820153565,30964.0,2015,6,2
2015-06-05,options,21698.384078,394.58207696600005,31730.0,2015,6,2
2015-06-08,options,14855.141893,264.10878392,19567.0,2015,6,2
2015-06-09,options,12880.039547,229.822183607,16204.0,2015,6,2
2015-06-10,options,23027.945943,411.875262797,24216.0,2015,6,2
2015-06-11,options,12470.472804,227.472466368,17340.0,2015,6,2
2015-06-15,options,25325.433243,464.443974124,29789.0,2015,6,2
2015-06-16,options,12591.281437,227.82268617,12572.0,2015,6,2
2015-06-17,options,9961.984255,184.341568238,9635.0,2015,6,2
2015-06-18,options,12112.036174,224.713518467,13689.0,2015,6,2
2015-06-19,options,16790.353327,314.83821194800004,10764.0,2015,6,2
2015-06-22,options,17136.859641,318.525437281,11224.0,2015,6,2
2015-06-23,options,7949.021678,148.421990033,11144.0,2015,6,2
2015-06-24,options,7198.267794,132.789523964,10626.0,2015,6,2
2015-06-25,options,8797.995091,162.701066508,10087.0,2015,6,2
2015-06-26,options,7922.826613,145.099805009,11067.0,2015,6,2
2015-06-29,options,10460.954569,190.849450108,14940.0,2015,6,2
2015-06-30,options,9172.223431,165.193851866,13379.0,2015,6,2
2015-07-01,options,8164.204676,146.20370005700002,12782.0,2015,7,3
2015-07-02,options,6674.929762,120.321902999,11335.0,2015,7,3
2015-07-03,options,7591.882075,136.408478497,11345.0,2015,7,3
2015-07-06,options,9991.818171,179.693123646,14612.0,2015,7,3
2015-07-07,options,14821.976197,262.74881933,18970.0,2015,7,3
2015-07-08,options,18118.415997,316.64923656699995,26374.0,2015,7,3
2015-07-09,options,9343.990452,163.30679919,16024.0,2015,7,3
2015-07-10,options,9409.691154,165.139375433,15766.0,2015,7,3
2015-07-13,options,12412.35257,219.03442953299998,19698.0,2015,7,3
2015-07-14,options,15045.243713,265.779930239,20134.0,2015,7,3
2015-07-15,options,17484.03697,306.859157666,23340.0,2015,7,3
2015-07-16,options,10393.283497,183.418869357,10988.0,2015,7,3
2015-07-17,options,9463.825774,166.17663394800002,9675.0,2015,7,3
2015-07-20,options,8485.148735,149.275253376,10690.0,2015,7,3
2015-07-21,options,10071.460902,177.209624272,8811.0,2015,7,3
2015-07-22,options,10000.473002,175.43920007,11106.0,2015,7,3
2015-07-23,options,11541.046915,202.392130133,13262.0,2015,7,3
2015-07-24,options,15417.865771,268.801553947,21498.0,2015,7,3
2015-07-27,options,14880.731243,256.398998628,21650.0,2015,7,3
2015-07-28,options,18409.732805,313.188698589,21216.0,2015,7,3
2015-07-29,options,11146.788306,185.09157293500002,16332.0,2015,7,3
2015-07-30,options,9672.034107,161.83035826100001,13929.0,2015,7,3
2015-07-31,options,11797.005518,199.981107465,17187.0,2015,7,3
2015-08-03,options,19021.820281,315.21365664200005,23416.0,2015,8,3
2015-08-04,options,13736.572925,219.898810505,18062.0,2015,8,3
2015-08-05,options,11779.200602,187.214519837,13861.0,2015,8,3
2015-08-06,options,18490.544247,294.81849420599997,19833.0,2015,8,3
2015-08-07,options,15312.101734,239.759580204,19278.0,2015,8,3
2015-08-10,options,21567.724605,337.840826897,21791.0,2015,8,3
2015-08-11,options,22844.978071,354.19833685500004,25326.0,2015,8,3
2015-08-12,options,16726.034153,264.611407614,21432.0,2015,8,3
2015-08-13,options,22315.024087,343.218825982,23102.0,2015,8,3
2015-08-14,options,16912.680796,264.265592417,17883.0,2015,8,3
2015-08-17,options,21400.108903,329.555408962,24860.0,2015,8,3
2015-08-18,options,14420.735402,220.152471505,13650.0,2015,8,3
2015-08-19,options,19578.387559,297.41325708,14708.0,2015,8,3
2015-08-20,options,23779.980424,361.82569092299997,17404.0,2015,8,3
2015-08-21,options,19571.112011,292.277153364,20269.0,2015,8,3
2015-08-24,options,32722.624619,480.35607823400005,39598.0,2015,8,3
2015-08-25,options,25899.584553,366.08997693199996,31792.0,2015,8,3
2015-08-26,options,15574.929063,222.67044285499998,16873.0,2015,8,3
2015-08-27,options,24725.333592,356.713827643,28876.0,2015,8,3
2015-08-28,options,22769.783876,337.59370465499995,29749.0,2015,8,3
2015-08-31,options,18831.593819,283.27600328799997,27570.0,2015,8,3
2015-09-01,options,31550.829147,472.91815279,46472.0,2015,9,3
2015-09-02,options,28281.659562,432.775454472,42773.0,2015,9,3
2015-09-03,options,20650.231509,309.711971231,30047.0,2015,9,3
2015-09-04,options,15161.309232,226.253752891,17587.0,2015,9,3
2015-09-07,options,16617.169889,245.507422457,20708.0,2015,9,3
2015-09-08,options,14801.779943,216.127288673,16816.0,2015,9,3
2015-09-09,options,15879.201984,230.825168534,18904.0,2015,9,3
2015-09-10,options,17905.754447,264.792241079,21019.0,2015,9,3
2015-09-11,options,21671.022391,316.383303444,18710.0,2015,9,3
2015-09-14,options,20324.650016,298.851039725,19436.0,2015,9,3
2015-09-15,options,22828.826229,335.92996506599997,19246.0,2015,9,3
2015-09-16,options,16142.295674,240.365107553,20422.0,2015,9,3
2015-09-17,options,10188.18319,154.53663641600002,13077.0,2015,9,3
2015-09-18,options,14778.83442,226.10640109099998,19195.0,2015,9,3
2015-09-21,options,8005.74104,121.95600606299999,10534.0,2015,9,3
2015-09-22,options,10316.998875,155.97431231099998,13445.0,2015,9,3
2015-09-23,options,11639.648612,175.892729578,13697.0,2015,9,3
2015-09-24,options,16216.214117,245.547676701,17063.0,2015,9,3
2015-09-25,options,8285.925919,124.572103462,11421.0,2015,9,3
2015-09-28,options,6210.670364,94.5700475845,9955.0,2015,9,3
2015-09-29,options,7910.764575,120.688430821,10381.0,2015,9,3
2015-09-30,options,11964.706559,180.635607737,12826.0,2015,9,3
2015-10-01,options,11958.817797,181.920789654,14147.0,2015,10,4
2015-10-02,options,16172.781779,248.683477141,17888.0,2015,10,4
2015-10-05,options,17685.405841,268.198822606,21515.0,2015,10,4
2015-10-06,options,18711.646247,285.130716543,20673.0,2015,10,4
2015-10-07,options,26957.987742,414.12536741,32339.0,2015,10,4
